#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,topic
,,0,2023-07-06T04:57:47.880609479Z,2023-07-07T04:57:47.880609479Z,2023-07-06T05:00:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5113024/0
,,0,2023-07-06T04:57:47.880609479Z,2023-07-07T04:57:47.880609479Z,2023-07-06T05:04:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5113024/0
,,0,2023-07-06T04:57:47.880609479Z,2023-07-07T04:57:47.880609479Z,2023-07-06T05:08:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5113024/0
,,0,2023-07-06T04:57:47.880609479Z,2023-07-07T04:57:47.880609479Z,2023-07-06T05:12:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5113024/0
,,0,2023-07-06T04:57:47.880609479Z,2023-07-07T04:57:47.880609479Z,2023-07-06T05:16:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5113024/0
,,0,2023-07-06T04:57:47.880609479Z,2023-07-07T04:57:47.880609479Z,2023-07-06T05:20:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5113024/0
,,0,2023-07-06T04:57:47.880609479Z,2023-07-07T04:57:47.880609479Z,2023-07-06T05:24:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5113024/0
,,0,2023-07-06T04:57:47.880609479Z,2023-07-07T04:57:47.880609479Z,2023-07-06T05:28:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5113024/0
,,0,2023-07-06T04:57:47.880609479Z,2023-07-07T04:57:47.880609479Z,2023-07-06T05:32:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5113024/0
,,0,2023-07-06T04:57:47.880609479Z,2023-07-07T04:57:47.880609479Z,2023-07-06T05:36:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5113024/0
