result,table,_start,_stop,_time,_value,_field,_measurement,host,topic
,0,2023-07-06T04:57:35.888198303Z,2023-07-07T04:57:35.888198303Z,2023-07-06T05:00:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5107584/0
,0,2023-07-06T04:57:35.888198303Z,2023-07-07T04:57:35.888198303Z,2023-07-06T05:04:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5107584/0
,0,2023-07-06T04:57:35.888198303Z,2023-07-07T04:57:35.888198303Z,2023-07-06T05:08:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5107584/0
,0,2023-07-06T04:57:35.888198303Z,2023-07-07T04:57:35.888198303Z,2023-07-06T05:12:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5107584/0
,0,2023-07-06T04:57:35.888198303Z,2023-07-07T04:57:35.888198303Z,2023-07-06T05:16:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5107584/0
,0,2023-07-06T04:57:35.888198303Z,2023-07-07T04:57:35.888198303Z,2023-07-06T05:20:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5107584/0
,0,2023-07-06T04:57:35.888198303Z,2023-07-07T04:57:35.888198303Z,2023-07-06T05:24:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5107584/0
,0,2023-07-06T04:57:35.888198303Z,2023-07-07T04:57:35.888198303Z,2023-07-06T05:28:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5107584/0
,0,2023-07-06T04:57:35.888198303Z,2023-07-07T04:57:35.888198303Z,2023-07-06T05:32:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5107584/0
,0,2023-07-06T04:57:35.888198303Z,2023-07-07T04:57:35.888198303Z,2023-07-06T05:36:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5107584/0
,0,2023-07-06T04:57:35.888198303Z,2023-07-07T04:57:35.888198303Z,2023-07-06T05:40:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5107584/0
,0,2023-07-06T04:57:35.888198303Z,2023-07-07T04:57:35.888198303Z,2023-07-06T05:44:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5107584/0
,0,2023-07-06T04:57:35.888198303Z,2023-07-07T04:57:35.888198303Z,2023-07-06T05:48:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5107584/0
,0,2023-07-06T04:57:35.888198303Z,2023-07-07T04:57:35.888198303Z,2023-07-06T05:52:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5107584/0
,0,2023-07-06T04:57:35.888198303Z,2023-07-07T04:57:35.888198303Z,2023-07-06T05:56:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5107584/0
,0,2023-07-06T04:57:35.888198303Z,2023-07-07T04:57:35.888198303Z,2023-07-06T06:00:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-5107584/0
